paragraph,familiar_1,understandable_1,word_coherence_1,coherence_1,syntax_compl_1,complexity_1,familiar_2,understandable_2,word_coherence_2,coherence_2,syntax_compl_2,complexity_2,familiar_3,understandable_3,word_coherence_3,coherence_3,syntax_compl_3,complexity_3
"Для кодирования цветных графических изображений применяется принцип декомпозиции произвольного цвета на основные составляющие. В качестве таких составляющих используют три основные цвета: красный, зеленый и синий. На практике считается (хотя теоретически это не совсем так), что любой цвет, видимый человеческим глазом, можно получить путем механического смешения этих трех основных цветов. Такая система кодирования называется системой RGB по первым буквам названий основных цветов.",5,1,4,5,2,1,5,5,5,5,3,1,5,5,5,5,1,1
"Обеспечение безопасности любого объекта транспортной инфраструктуры предполагает определенный комплекс мер противодействия угрозам этому объекту. Чаще всего в реальной жизни приходится сталкиваться не с прямой, т.е. открыто высказанной возможностью нанесения ущерба, а с потенциальной (возможной) опасностью. Эта потенциальная опасность и  определяется термином ""угроза"". Угроза определяется существованием или появлением источника потенциальной опасности.",4,5,3,4,2,2,4,5,5,5,3,1,5,5,4,5,1,1
"В целом, основная польза АОП заключается в возможности выделения отдельного процесса разработки, ответственного за каждую такую особенность, а также в уменьшении количества зависимостей между кодом, реализующим особенности поведения, и основным кодом программы. Все это делает процесс разработки приложений более гибким, причем уменьшается сложность модификации кода и увеличивается возможность повторного использования кода, реализующего конкретную поведенческую особенность.",4,4,3,4,4,3,3,4,3,4,5,3,4,5,3,4,3,2
"При принятии решений обычно используются различного рода агрегированные данные (по времени, по территориальному признаку и др.). Например, ежедневные данные инспекций, использующиеся в оперативном управлении, обобщаются в еженедельные, ежемесячные, ежеквартальные в целом по районам при оценке эффективности деятельности управ районов. В различных задачах требуются различного рода агрегированные данные. Часто в задачах оценки объектов имеют значение не только текущие значения параметров, но и динамика их изменения. Многомерная модель данных включает не только агрегированные данные, но и вычисляемые элементы. Такие элементы не связаны напрямую с источником данных, а являются их производными.",4,4,3,5,2,3,3,4,4,5,4,3,5,5,3,4,2,2
"В идеальном случае процесс разработки может иметь вид последовательно выполняемых слабо связанных между собой этапов. Такая схема разработки называется нисходящей, и она редко встречается на практике. Чаще встречается каскадная схема, в которой можно наблюдать замыкание процесса и проведение повторного анализа требований после проведения его тестирования. Каскадная схема является одним из вариантов итеративных схем разработки программного обеспечения.",5,5,4,5,2,1,5,5,5,4,2,2,5,5,4,5,1,1
"Для вывода информации на бумагу предназначены принтеры.  Принтеры бывают чёрно-белыми и цветными. Также они различаются  по способу действия. Принтеры ударного действия наносят удар  по красящей ленте, соприкасающейся с бумагой. В матричном принтере  удар по красящей ленте наносит группа иголок, установленных  в печатающей головке. Принтеры безударного действия распыляют  на бумагу чернила (струйные принтеры) или сухой тонер (лазерные  принтеры). Чернила и тонер находятся в сменных картриджах.",5,5,3,4,1,1,5,5,4,4,3,1,5,5,5,5,1,1
"Представлен разработанный авторами метод оценки динамики участия энергообъектов в общем первичном регулировании частоты (ОПРЧ) в случае нештатных ситуаций на основе анализа временных рядов частоты и мощности. Обсуждается разработка алгоритма идентификации процесса генерации электроэнергии, основанная на использовании нечетких виртуальных моделей, архива технологических данных и баз знаний. При разработке алгоритмов идентификации используется процедура ассоциативного поиска.",3,3,2,3,3,4,3,4,3,5,3,3,2,3,2,4,2,3
"Растровые редакторы применяют в тех случаях, когда графический объект представлен в виде комбинации точек, образующих растр и обладающих свойствами яркости и цвета. Такой подход эффективен в тех случаях, когда графическое изображение имеет много полутонов и информация о цвете элементов, составляющих объект, важнее, чем информация об их форме. Это характерно для фотографических и полиграфических изображений. Растровые редакторы широко применяются для обработки изображений, их ретуши, создания фотоэффектов и художественных композиций (коллажей).",5,5,3,5,3,2,5,5,4,5,3,2,5,5,5,5,2,2
"Рассмотрены меры семантической близости статей Википедии и их применение к задачам обработки текстов и информационного поиска. Приведены требования к мерам семантической близости для задач вычисления близости между парой статей и для ранжирования всех статей Википедии относительно заданной. Предложены эвристические методы эффективного ранжирования для отдельного класса мер. Приведены  экспериментальные данные, подтверждающие эффективность предложенного подхода. Кратко рассмотрены методы, реализованные в системе Texture.",4,4,4,4,2,2,4,5,4,5,2,2,4,5,3,3,2,2
"Имеют место и громкие лозунги, предполагающие обреченность реляционных баз данных, при этом, признается, что и реляционная модель, и язык SQL являются важными и полезными инструментами, но ни в коем случае не универсальными. Это касается как проблем, присущих реализациям реляционных баз данных (например, масштабируемость при стремительном росте числа серверов), так и банальному неудобству доступа к данным, логическая структура которых многое теряет при приведении к реляционной модели.",5,4,3,4,4,3,4,5,3,4,5,3,4,4,3,5,4,3
"В описываемом подходе применяются два типа контекста: абстрактный и оперативный. Абстрактный контекст представляет собой модель задачи, построенной на основании интеграции знаний проблемной области, релевантных для данной задачи, и формальных представлений информационных источников, от которых поступают значения переменным задачи. Оперативный контекст является экземпляром абстрактного контекста с приписанными текущими значениями переменным, входящим в модель задачи.",3,3,2,3,3,3,3,5,5,5,3,2,1,5,4,5,3,2
"Формат графического файла — это способ представления графических данных на внешнем носителе. Различают растровые и векторные форматы графических файлов, среди которых, в свою очередь, выделяют универсальные графические форматы и собственные (оригинальные) форматы графических приложений.  Универсальные графические форматы «понимаются» всеми приложениями, работающими с растровой (векторной) графикой.",4,4,3,4,3,3,4,5,5,5,3,2,5,5,5,5,2,1
"Согласно спецификации РС99 большинство персональных компьютеров, присутствующих в настоящее время на рынке, попадают в категорию массовых ПК. Для деловых ПК минимизированы требования к средствам воспроизведения графики, а к средствам работы со звуковыми данными требования вообще не предъявляются. Для портативных ПК обязательным является наличие средств для создания соединений удаленного доступа, то есть средств компьютерной связи. В категории рабочих станций повышены требования к устройствам хранения данных, а в категории развлекательных ПК — к средствам воспроизведения графики и звука.",3,5,2,3,2,3,3,4,5,5,2,2,5,5,5,5,2,1
"В качестве эталона выбирают образ, обладающий минимальной изменчивостью значений признаков на множестве возможных представлений данного образа. Предполагается, что образу (эталону) соответствует компактное множество точек в пространстве признаков (гипотеза компактности), образующих разделимые классы. Однако шумы, помехи (организованные и неорганизованные), структурные вариации одного и того же представителя класса приводят к значительному увеличению указанного объёма и, как следствие, перекрытию классов, а значит, к снижению достоверности классификации. В результате проблема принятия решения замыкается на проблеме формирования системы признаков, позволяющей сформировать такой эталон, который обеспечивал бы условия компактности.",5,4,2,3,4,4,2,5,5,5,3,3,5,5,4,5,4,3
"Если мы задумаемся над тем, с какими объектами работали первые механические предшественники современного электронного компьютера, то должны признать, что числа представлялись либо в виде линейных перемещений цепных и реечных механизмов, либо в виде угловых перемещений зубчатых и рычажных механизмов. И в том и в другом случае это были перемещения, что не могло не сказываться на габаритах устройств и на скорости их работы. Только переход от регистрации перемещений к регистрации сигналов позволил значительно снизить габариты и повысить быстродействие. Однако на пути к этому достижению потребовалось ввести еще несколько важных принципов и понятий.",4,5,2,5,4,3,4,5,3,5,3,2,5,5,4,5,3,2
"Спектральное разложение используется в случаях, когда объем ряда очень велик, и заключается в разложении в гармонический ряд с равномерно распределенными частотами и фазами. Спектральное представление корреляционной функции позволяет выявить скрытую периодичность значений ряда, но также может быть использовано и для оценки средних значений и других характеристик на основе данных выборки фиксированного объема. Знание выборочной спектральной функции может дать дополнительную информацию о корреляционной функции, что полезно для моделирования процесса.",2,3,2,4,3,4,3,4,5,5,2,4,4,4,4,4,4,3
"Пользовательский интерфейс — средства, обеспечивающие  взаимодействие человека и компьютера. В операционную систему входят  программы, поддерживающие диалог пользователя с компьютером:  желая произвести некоторое действие (запустить программу на  выполнение, распечатать текст на принтере, посмотреть свойства  компьютера и т. д.), человек даёт операционной системе соответствующую команду.  Операционная система выполняет эту команду и предоставляет  пользователю результат работы или же сообщает о невозможности  выполнения заданной команды. Чуть позже мы рассмотрим  пользовательский интерфейс более подробно.",5,5,3,4,2,1,5,5,5,5,4,1,5,5,5,5,2,1
"В работе рассматривается технология мобильных порталов, реализующая  информационное обслуживание конечных потребителей в реальном времени в пространстве интернета и в архитектуре принятия решений, ориентированной на четыре полюса зоны субъекта управления. Представленная технология существенно опережает традиционно используемые технологии информационного обслуживания по показателям производительности, автоматизации, безопасности и масштабирования.",3,5,3,2,3,3,2,4,4,3,3,2,4,5,4,5,3,2
"Программные средства контроля иногда называют мониторами. Они позволяют следить за процессами, происходящими в компьютерной системе. При этом возможны два подхода: наблюдение в реальном режиме времени или контроль с записью результатов в специальном протокольном файле. Первый подход обычно используют при изыскании путей для оптимизации работы вычислительной системы и повышения ее эффективности. Второй подход используют в тех случаях, когда мониторинг выполняется автоматически и (или) дистанционно. В последнем случае результаты мониторинга можно передать удаленной службе технической поддержки для установления причин конфликтов в работе программного и аппаратного обеспечения.",4,5,2,4,3,2,4,4,5,5,2,3,4,5,4,5,3,2
"Для информатики как технической науки понятие информации не может основываться на таких антропоцентрических понятиях, как знание, и не может опираться только на объективность фактов и свидетельств. Средства вычислительной техники обладают способностью обрабатывать информацию автоматически, без участия человека, и ни о каком знании или незнании здесь речь идти не может. Эти средства могут работать с искусственной, абстрактной и даже с ложной информацией, не имеющей объективного отражения ни в природе, ни в обществе.",5,5,3,5,3,1,4,5,4,4,4,3,5,5,5,5,2,1
"Требование адекватности методов. Одни и те же данные могут в момент потребления поставлять разную информацию в зависимости от степени адекватности взаимодействующих с ними методов. Например для человека, не владеющего китайским языком, письмо, полученное из Пекина, дает только ту информацию, которую можно получить методом наблюдения (количество страниц, цвет и сорт бумаги, наличие незнакомых символов и т. п.). Все это информация, но это не вся информация, заключенная в письме. Использование более адекватных методов даст иную информацию.",5,5,2,4,3,1,5,5,3,5,3,1,5,5,4,5,2,2
"Возможность представления любых чисел (да и не только чисел) двоичными цифрами впервые была предложена Готфридом Вильгельмом Лейбницем в 1666 году. Он пришел к двоичной системе счисления, занимаясь исследованиями философской концепции единства и борьбы противоположностей. Попытка представить мироздание в виде непрерывного взаимодействия двух начал («черного» и «белого», мужского и женского, добра и зла) и применить к его изучению методы «чистой» математики подтолкнули Лейбница к изучению свойств двоичного представления данных с помощью нулей и единиц. Надо сказать, что Лейбницу уже тогда приходила в голову мысль о возможности использования двоичной системы в вычислительном устройстве, но, поскольку для механических устройств в этом не было никакой необходимости, он не стал использовать в своем калькуляторе (1673 году) принципы двоичной системы.",5,5,3,5,3,3,5,5,4,5,3,2,5,5,4,5,3,2
"Рассматривается задача оптимального распределения вычислительных ресурсов специализированной вычислительной системы с пуассоновским потоком заданий случайной длины и параллельным выполнением заданий одновременно на нескольких ресурсах. Время пребывания задания ограничивается заданной величиной, зависящей от его длины. Предлагается алгоритм оптимизации квазистатического плана распределения вычислительных ресурсов между заданиями. В качестве целевой функции используется один из показателей эффективности работы вычислительной системы: интенсивность полностью выполненных заданий, средняя суммарная длина невыполненных частей заданий, покидающих систему в единицу времени, коэффициент загруженности ресурсов. Приведены результаты вычислительных экспериментов и оценки трудоемкости предлагаемого алгоритма.",3,4,2,4,2,4,4,3,4,5,4,4,4,3,3,4,5,5
"С учетом современных требований, настоящего состояния электроники и программного обеспечения системы энергетики могут строиться на основе либо собственных технологий, либо с использованием заимствованных технологий. При этом заимствованные технологии должны быть подвергнуты процессу адаптации, который бы позволил сделать их прозрачными и управляемыми до такой степени, чтобы поставщик мог распространить на них собственные гарантийные обязательства продолжительностью в несколько десятков лет.",3,5,2,4,5,3,5,4,2,3,4,3,5,5,4,5,3,2
"Нанотехнологии относятся к одному из перспективных направлений развития инновационной экономики. Результаты исследований в области нанотехнологий оказывают значительное влияние на различные отрасли промышленности. Эти исследования требуют привлечения экспертов в области физики, химии и биологии, в частности, в квантовой теории, описывающей возможные варианты поведения и взаимодействия элементов наноструктур в нанометровом диапазоне; в физическом материаловедении, в особенности в разделе, изучающем свойства наноматериалов; в химическом синтезе, биохимии и молекулярной биологии, описывающих объекты биологического происхождения и химические процессы синтеза наноструктур и протекающие в самих наноструктурах. Нанотехнологии относятся к областям научных исследований, требующим использования значительных объемов экспериментальных данных, моделирующих комплексов и взаимодействия специалистов в различных, зачастую несмежных областях. Несмотря на полученные за последние годы различные результаты, отсутствуют подходы к унификации и верификации данных.",4,4,2,4,5,4,4,4,5,5,5,4,3,4,4,4,4,4
"Таким образом, наряду с функциями (о которых, как и о выражениях языка вообще, нет необходимости говорить отдельно ввиду аналогий с SQL), операторы связи и свойства связи можно доопределять в рамках языка, настраивая его под логику и потребности конкретной системы. Также можно заметить, что перечисленные пять операций (три стандартные плюс конструкции операторов и свойств связи) полностью покрывают потребности в смысле отбора связей, ведь фильтрация множеств является одним из вариантов применения свойства связи, а циклическое выполнение и тем более связывание для связей применять не имеет смысла.",3,3,2,3,4,4,5,4,4,5,3,3,3,4,4,4,4,3
"Чтобы получить точное ранжирование статей Википедии по одной из вышеперечисленных метрик от исходной вершины i, надо рассмотреть все вершины, отстоящие на два ребра от i, и отсортировать этот список по значению меры. Таким образом, задача ранжирования имеет неприемлемую сложность O(n3log(n)). Но, как упоминалось ранее, для практических задач нам требуются первые результаты ранжирования, а не весь список. И если допустить некоторую неточность в результатах ранжирования, то возможно решить эту задачу на несколько порядков эффективнее, пользуясь статистическими особенностями графа ссылок Википедии. В следующем разделе мы рассмотрим статистические свойства ссылок Википедии, а затем представим несколько эвристических алгоритмов ранжирования по нерекурсивным мерам.",4,4,3,4,4,4,5,3,4,4,4,3,5,5,5,5,3,2
"Пользователь имеет возможность не только работать с информационными ресурсами, созданными другими людьми, но и сделать  доступными для других результаты своего труда. Например, вы можете создать собственную страницу или разместить свои работы  (рисунки, фотографии, презентации, тексты, аудио- и видеозаписи  и др.) на сайте школы.  Следует  очень ответственно подходить  к информации, которую вы предполагаете сделать доступной для многих пользователей. Прежде всего, информация должна быть достоверной; она не должна порочить честь и достоинство других людей,  носить угрожающий характер.",5,5,2,5,3,2,4,5,4,5,4,2,5,5,3,5,2,1
"Ныне информатика сталкивается с парадоксальным фактом. Ее основная задача состоит в преодоления общечеловеческого кризисного явления, называемого «информационным бумом», путем внедрения средств и методов, автоматизирующих операции с данными. Однако даже в собственной предметной области информатика испытывает такой информационный бум, какого не знает ни одна другая область человеческой деятельности. Например мировой ассортимент изданий, имеющих прямое отношение к информатике (не считая периодических и электронных), составляет порядка десяти тысяч томов в год и полностью обновляется не реже, чем раз в два года.",5,5,2,5,3,2,5,4,4,5,3,3,5,5,4,5,2,1
"Иерархические  файловые  структуры  используются  для хранения  большого (сотни и тысячи) количества файлов. Иерархия — это расположение частей (элементов) целого в порядке от высшего к низшим. Начальный (корневой) каталог содержит файлы и вложенные  каталоги первого уровня. Каждый из каталогов первого уровня может содержать файлы и вложенные каталоги второго уровня и т. д. В этом случае оглавление диска можно сравнить с оглавлением нашего учебника: в нем выделены  главы, состоящие из параграфов, которые, в свою очередь, разбиты на отдельные пункты ит. д.",5,5,2,5,3,1,5,5,4,5,4,2,5,5,5,5,2,1
"От программного обеспечения этого уровня во многом зависят эксплуатационные показатели всей вычислительной системы в целом. Так, например, при подключении к вычислительной системе нового оборудования на системном уровне должна быть установлена программа, обеспечивающая для других программ взаимосвязь с этим оборудованием. Конкретные программы, отвечающие за взаимодействие с конкретными устройствами, называются драйверами устройств — они входят в состав программного обеспечения системного уровня.",5,5,4,5,3,3,5,4,3,4,3,2,5,5,4,5,2,1
"Целью разработки системы Texterra является использование Википедии для улучшенного поиска и навигации в текстовых базах данных. Пользуясь семантикой Википедии, Texterra, в отличие от традиционных информационно-поисковых систем, оперирует более богатым представлением текстовых документов, что в свою очередь позволило нам реализовать новые возможности для этого класса систем. Модель документа в Texterra представляется как множество фразеологизмов из текста и, так как фразеологизмы берутся из Википедии, между фразами определено семантическое расстояние. При этом многозначные фразеологизмы разрешаются в однозначные на основе меры близости. При наличии качественной функции семантического подобия, такая модель позволяет определять доминантные фразы документа, производить рубрикацию текстов без использования обучающих выборок, помогать реформулировать запрос пользователя и вычислять фасеты при навигации по результатам полнотекстового запроса и по рубрикатору.",4,4,2,4,4,4,5,5,4,5,4,2,4,4,5,5,3,3
"Реляционные СУБД очень удобны для разработки информационных систем с большим количеством информационных взаимосвязей, так как при составлении базы данных закладывается возможность делать различные сложные выборки и статистические расчеты. При решении данной задачи запросы должны быть максимально просты и быстры. В сложных запросах необходимости нет. При работе через СУБД необходимо создавать индексы и постоянно обновлять их по мере поступления новой информации, что уменьшает скорость заполнения базы данных. Реляционные СУБД, благодаря транзакционному механизму, устойчивы к большинству программных и аппаратных сбоев. Однако аппаратный сбой может привести к потере структурных данных в файле базы данных, следствием чего может стать потеря всей базы данных.",5,5,2,4,4,3,5,3,4,5,3,3,4,5,5,4,2,2
"Рассмотрев доступные решения, можно сделать вывод, что способ хранения данных в базе данных, созданной с помощью РСУБД, подходит для реализации ОСИ. Тогда как использование способа хранения данных в однофайловой структуре не представляется возможным, ввиду перечисленных недостатков. Новый способ хранения должен обеспечивать высокую скорость выборки и добавления данных, должен обладать достаточной степенью отказоустойчивости и быть легко масштабируемым.",4,4,3,4,2,3,4,3,3,4,3,3,4,5,3,4,2,1
"С увеличением количества записей в БД, созданной с помощью ""Microsoft SQL Server"", скорость поиска и записи данных значительно уменьшается. Скорее всего, это связано с тем, что при увеличении количества записей возрастает сложность индекса и это влияет на время его обновления. При росте количества записей в системе хранения, основанной на новом способе, производительность этой системы падает заметно меньше. Можно отметить, что скорость записи данных в системе, основанной на новом способе хранения ОСИ, при малом количестве записей ниже, чем при большом. Это связано с необходимостью создавать структуру каталогов, которая оказывается полностью созданной после добавления в систему хранения примерно 200 тыс. записей. В дальнейшем структура каталогов не модифицируется. Так как использование системы планируется для большого количества записей (до 400млн.), можно сделать вывод, что новый метод показал лучшие результаты тестирования при решении этой задачи.",5,5,3,5,3,3,4,3,3,4,4,4,4,5,4,5,3,2
"Существующие и используемые в настоящее время методы защиты программного обеспечения достаточно легко нейтрализуются злоумышленниками за относительно небольшое время. Для этого они используют различные программные инструменты: отладчики, дамперы, снифферы, эмуляторы и т.п. Как показывает практика, любая защита, основанная исключительно на повышении сложности декомпиляции программы, а также понимания ее структуры злоумышленником, преодолевается без существенных преград.",4,5,1,5,2,2,3,5,3,4,2,2,5,5,3,4,2,2
"Большие ЭВМ отличаются высокой стоимостью оборудования и обслуживания, поэтому работа таких суперкомпьютеров организована по непрерывному циклу. Наиболее трудоемкие и продолжительные вычисления планируют на ночные часы, когда количество обслуживающего персонала минимально. В дневное время ЭВМ исполняет менее трудоемкие, но более многочисленные задачи. При этом для повышения эффективности компьютер работает одновременно с несколькими задачами и, соответственно, с несколькими пользователями. Он поочередно переключается с одной задачи на другую и делает это настолько быстро и часто, что у каждого пользователя создается впечатление, будто компьютер работает только с ним. Такое распределение ресурсов вычислительной системы носит название принципа разделения времени.",5,5,2,5,3,2,5,5,4,5,3,2,5,5,4,5,2,1
"Итак, будем считать, что свойству полного масштабирования отвечают АИС, не испытывающие ограничений на количество происходящих одновременно пользовательских подключений к зоне обслуживания и ограничений на динамическое наращивание ресурсов эксплуатируемого прикладного ПО. В противном случае масштабирование следует считать неполным, особо оговаривая признак накладываемого ограничения. Понятно, что масштабирование будет полным в том и только том случае, когда АИС будет в состоянии динамически наращивать собственные аппаратные и сетевые системные ресурсы практически без ограничений.",3,4,3,5,4,4,4,5,4,5,4,3,4,5,4,5,2,2
"Таков набор необходимых операций для языка запросов, оперирующего множествами объектов и преобразующего результат выборки в таблицу. Как видно, в результирующей таблице сохраняется прямая связь и с объектами (связями), ""породившими"" ту или иную ячейку, и с множествами, а значит, на основе этих операций можно реализовать и модификацию данных, и редактирование базовых множеств. Расширение набора операций возможно, однако на данном этапе развития языка представляется избыточным.",4,5,4,4,4,3,5,5,2,3,4,2,4,4,3,4,2,2
